Strain Name, Gram, Eighth, Quad, Half, Ounce, Dispensary, Location,Blueberry,13,45,90,160,320,Ketama,San Francisco
Blueberry,15,45,,,,TreeHouse SF - South San Francisco,South San Francisco
Blueberry Haze,15,40,75,150,300,Green Cure Delivery,San Francisco
Blueberry Haze,15,45,75,120,230,Green Line Delivery,Oakland
Blue Cheese,12,35,65,125,245,Phytologie Wellness,Oakland
Blue Cheese,,35,70,120,205,Buena Leaf,Daly City
Blue Cheese,16,50,90,175,320,Cloud Family,Oakland
Chocolope,20,60,110,220,375,Green Cure Delivery,San Francisco
Granddaddy Purple,,40,75,,,Shakes,San Francisco
Granddaddy Purple,14,49,95,185,,True Healing Collective - Oakland,Oakland
Granddaddy Purple,,50,90,170,320,Cannabicare Collective - Oakland,Oakland
Hash Plant,9,30,60,120,240,The Cookie Co. 415,San Francisco
Purple Kush,40,,,,,Posh Green Collective,San Francisco
Purple Kush,,45,,,,Loud Guyz,Oakland
Purple Kush,50,,,,,Cannabicare Collective - Oakland,Oakland
Romulan,16,49,88,,,Medithrive - San Francisco,San Francisco
Romulan,,35,65,125,240,Blum Oakland,Oakland
Sensi Star,5,15,30,50,100,Mission Organic,San Francisco
Sensi Star,10,38,75,150,280,Exclusive Meds - Sunset,San Francisco
Sour Diesel,20,50,95,190,350,SFFOGG,San Francisco
Sour Diesel,7,20,40,70,,Urban Pharm,San Francisco
Sour Diesel,13,40,80,140,280,1944 Ocean Cooperative - San Francisco,San Francisco
Sour Diesel,,40,80,150,,SmileHouse,San Francisco
Sour Diesel,,45,80,,,Budweeder,San Francisco
Sour Diesel,,50,100,180,305,Buena Leaf,Daly City
Sour Diesel,,35,65,120,200,Mountain High Club,Oakland
Sour Diesel,,40,,,,Loud Guyz,Oakland
Sour Diesel,13,40,72,,,Cosmic Courier - Oakland,Oakland
White Widow,13,40,,,,Telegraph Health Center,Oakland
Skywalker OG,10,25,45,90,175,SFFOGG,San Francisco
Skywalker OG,18,50,100,190,,Urban Pharm,San Francisco
Skywalker OG,14,45,88,174,,Harvest on Geary,San Francisco
Skywalker OG,15,45,90,180,360,Cookies SF,San Francisco
Skywalker OG,,45,75,130,,Quil Delivery,San Francisco
Skywalker OG,,35,70,135,,SmileHouse,San Francisco
Skywalker OG,,45,85,,,INDIKA MCC,Daly City
Cheese,30,,,,,Green Door San Francisco,San Francisco
OG Kush,12,40,78,150,280,Green Door San Francisco,San Francisco
OG Kush,17,50,90,175,320,Barbary Coast,San Francisco
OG Kush,,,80,,,LoveShack,San Francisco
OG Kush,,,80,,,LoveShack,San Francisco
OG Kush,17,50,90,175,320,Grass Roots Collective,San Francisco
OG Kush,,40,80,160,320,The Cookie Co. 415,San Francisco
OG Kush,14,45,88,170,330,Blum Oakland,Oakland
OG Kush,,40,80,160,320,Quil Delivery,San Francisco
OG Kush,20,50,100,175,300,Healing Light Delivery,San Francisco
OG Kush,,50,100,175,305,Buena Leaf,Daly City
OG Kush,,35,70,130,,Shakes,San Francisco
OG Kush,15,30,60,110,220,Green Sol,Oakland
OG Kush,,45,85,,,INDIKA MCC,Daly City
OG Kush,,50,90,170,320,Cannabicare Collective - Oakland,Oakland
OG Kush,15,45,81,,,Cosmic Courier - Oakland,Oakland
OG Kush,15,45,85,165,320,Kizzle,Oakland
Blue Dream,12,35,65,,225,Bloom Room Collective,San Francisco
Blue Dream,15,40,75,150,290,SFFOGG,San Francisco
Blue Dream,13,45,90,160,320,Ketama,San Francisco
Blue Dream,15,50,95,185,335,LoveShack,San Francisco
Blue Dream,13,40,80,140,280,1944 Ocean Cooperative - San Francisco,San Francisco
Blue Dream,18,45,80,160,320,Green Cure Delivery,San Francisco
Blue Dream,,35,65,125,250,Grandma's Goodies Delivery - Oakland,Oakland
Blue Dream,,40,80,,,INDIKA MCC,Daly City
Blue Dream,,40,,,,Loud Guyz,Oakland
Blue Dream,15,45,75,120,230,Green Line Delivery,Oakland
Blue Diesel,,35,60,110,200,Budweeder,San Francisco
Green Crack,20,50,95,190,350,SFFOGG,San Francisco
Green Crack,15,50,95,170,340,Ketama,San Francisco
Green Crack,10,30,60,100,200,1944 Ocean Cooperative - San Francisco,San Francisco
Green Crack,10,38,75,150,280,Exclusive Meds - Sunset,San Francisco
Green Crack,,45,,,,Feelgood - San Francisco,San Francisco
Green Crack,,50,90,170,,Grandma's Goodies Delivery - Oakland,Oakland
Jack Herer,12,40,70,,,Medithrive - San Francisco,San Francisco
Jack Herer,14,40,80,150,300,Mission Organic,San Francisco
Jack Herer,10,35,70,140,280,Exclusive Meds - Sunset,San Francisco
Jack Herer,15,30,60,110,220,Green Sol,Oakland
Jack Herer,,45,85,165,,INDIKA MCC,Daly City
Jack Herer,18,55,99,,,Cosmic Courier - Oakland,Oakland
Jack Herer,,60,110,170,330,Green Line Delivery,Oakland
Lemon Kush,,30,50,,,MAD Stash - Oakland,Oakland
Lemon Kush,30,,,,,Flow Kana,Oakland
Blackberry Kush,13,47,,,,Igzactly 420,San Francisco
Blackberry Kush,18,60,110,200,350,Grass Roots Collective,San Francisco
Blackberry Kush,17,50,100,160,350,Mission Organic,San Francisco
Blackberry Kush,,50,,,,Telegraph Health Center,Oakland
Blackberry Kush,15,40,75,150,300,Green Cure Delivery,San Francisco
Blackberry Kush,,45,80,145,,Grandma's Goodies Delivery - Oakland,Oakland
Sour Apple,6,20,35,70,140,Cookies SF,San Francisco
Purple Urkle,16,50,95,,,Dutchman's Flat,San Francisco
Purple Urkle,,55,,,,Golden Line,San Francisco
Blueberry Kush,10,36,,,,Igzactly 420,San Francisco
Headband,30,,,,,Ketama,San Francisco
Headband,30,,,,,Ketama,San Francisco
Headband,16,54,106,210,,Harvest off Mission,San Francisco
Headband,16,54,106,210,,Harvest on Geary,San Francisco
Headband,12,42,,,,First Hemp Bank,Oakland
Headband,18,55,105,195,360,Phytologie Wellness,Oakland
Headband,,35,70,140,,Golden Line,San Francisco
Grape Ape,17,50,98,190,360,Purple Star MD,San Francisco
Pineapple Express,13,40,80,140,280,1944 Ocean Cooperative - San Francisco,San Francisco
Dairy Queen,20,55,100,180,320,Bay Care Delivery,San Francisco
Ogre,17,50,90,175,320,Grass Roots Collective,San Francisco
Gods Gift,20,55,105,200,400,Cookies SF,San Francisco
Sweet Tooth,,44,88,176,352,Oakland Community Partners,Oakland
Sweet Tooth,,30,60,120,240,NEW LIFE MEDICAL COLLECTIVE,Oakland
Chemdawg,15,50,95,170,340,Ketama,San Francisco
Durban Poison,18,55,100,,365,Bloom Room Collective,San Francisco
Durban Poison,,44,88,176,352,Oakland Community Partners,Oakland
Durban Poison,12,,,,,Lifted Health and Wellness,San Francisco
Durban Poison,7,20,40,,,Waterside Garden,Oakland
Trainwreck,16,45,85,160,295,Barbary Coast,San Francisco
Trainwreck,,35,70,120,225,Healing Light Delivery,San Francisco
Trainwreck,,50,90,160,300,JAHNETICS,San Francisco
Black Domina,25,,,,,Flow Kana,Oakland
Green Candy,9,30,60,120,240,Cookies SF,San Francisco
Casey Jones,15,40,75,150,275,Lifted Health and Wellness,San Francisco
Jack Frost,13,45,90,160,320,Ketama,San Francisco
Jack Frost,12,40,80,160,320,The Cookie Co. 415,San Francisco
Jack Frost,10,35,70,125,245,1944 Ocean Cooperative - San Francisco,San Francisco
Jack Frost,,45,80,145,,Grandma's Goodies Delivery - Oakland,Oakland
Querkle,10,30,55,110,215,SFFOGG,San Francisco
MK Ultra,5,15,30,60,120,Cookies SF,San Francisco
MK Ultra,,40,80,160,240,Indigo - Oakland,Oakland
Super Sour Diesel,8,30,60,120,200,Ketama,San Francisco
Super Sour Diesel,8,30,60,120,200,Ketama,San Francisco
Holy Grail,17,50,98,190,360,Purple Star MD,San Francisco
Sour OG,15,54,,,,Igzactly 420,San Francisco
Sour OG,15,43,82,160,300,Purple Star MD,San Francisco
Pineapple Kush,12,40,75,140,,Harvest off Mission,San Francisco
Purple Trainwreck,,45,80,,,All Natural Delivers,San Francisco
SFV OG Kush,11,40,,,,Igzactly 420,San Francisco
SFV OG Kush,14,40,75,150,250,Cloud Family,Oakland
Chiesel,16,58,,,,Igzactly 420,San Francisco
Champagne,15,50,95,170,340,Ketama,San Francisco
Champagne,18,50,100,175,350,1944 Ocean Cooperative - San Francisco,San Francisco
True OG,16,55,105,205,375,LoveShack,San Francisco
True OG,17,50,100,180,350,Mission Organic,San Francisco
True OG,,35,70,,,Budweeder,San Francisco
True OG,,35,70,140,240,NEW LIFE MEDICAL COLLECTIVE,Oakland
Berry White,15,47,88,,,Dutchman's Flat,San Francisco
Berry White,20,,,,,Grass Roots Collective,San Francisco
Berry White,20,,,,,Grass Roots Collective,San Francisco
Berry White,,45,80,155,300,Grasshopper SF,San Francisco
Berry White,15,45,80,,,All Natural Delivers,San Francisco
Purple Bubba,14,35,68,130,249,Purple Star MD,San Francisco
Skywalker,17,50,90,,,Cosmic Courier - Oakland,Oakland
Green Goblin,,25,,,,Grasshopper SF,San Francisco
Strawberry Diesel,20,,,,,Ketama,San Francisco
Candy Kush,15,30,60,110,220,Green Sol,Oakland
Candy Kush,,40,75,145,285,Flow Kana,Oakland
gdp,15,45,,,,Telegraph Health Center,Oakland
Dream Queen,14,51,,,,Igzactly 420,San Francisco
Dream Queen,,45,85,160,,INDIKA MCC,Daly City
BLUE CRACK,16,45,85,165,320,Purple Star MD,San Francisco
Grapefruit Kush,14,51,,,,Igzactly 420,San Francisco
UK Cheese,,45,75,140,,Quil Delivery,San Francisco
J1,17,50,90,175,320,Grass Roots Collective,San Francisco
Cherry Pie,,40,,,,Flower Power Dispensary,San Francisco
Cherry Pie,14,45,90,180,360,The Cookie Co. 415,San Francisco
Cherry Pie,15,45,90,170,330,Mission Organic,San Francisco
Cherry Pie,10,35,,,,First Hemp Bank,Oakland
Cherry Pie,15,30,60,110,220,Green Sol,Oakland
Cherry Pie,60,,,,,TreeHouse SF - South San Francisco,South San Francisco
Cherry Pie,20,55,100,160,320,Green Line Delivery,Oakland
Cherry Kush,10,35,,,,First Hemp Bank,Oakland
Cherry Kush,15,40,75,150,300,Green Cure Delivery,San Francisco
Dutch Treat,20,50,95,190,350,SFFOGG,San Francisco
Dutch Treat,16,58,,,,Igzactly 420,San Francisco
Dutch Treat,18,,,,,Medithrive - San Francisco,San Francisco
Dutch Treat,15,40,75,140,260,Grass Roots Collective,San Francisco
Dutch Treat,14,45,90,180,360,The Cookie Co. 415,San Francisco
Dutch Treat,14,45,88,174,,Harvest off Mission,San Francisco
Dutch Treat,18,55,100,190,360,Mission Organic,San Francisco
Strawberry Kush,16,49,88,,328,Medithrive - San Francisco,San Francisco
